ean,nombre,marca,kcal_100g,proteina_100g,hidratos_100g,grasas_100g,rol_principal,grupo_mediterraneo,frecuencia_mediterranea,permitido_comidas,categorias,,,
8480000868091,Cocktail Natural,Hacendado,651.0,20.4,14.6,58.8,grasa,frutos_secos,regular,"desayuno,media_manana,merienda,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Frutos de cáscara y derivados,Frutos de cáscara,Almendras,Anacardos",,,
8480000862020,Pistacho tostado sal,Hacendado,617.0,24.8,14.6,51.1,grasa,frutos_secos,regular,"desayuno,media_manana,merienda,postre","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Pistaches,Pistaches grillées,en:Alimentos de origen vegetal,en:Alimentos y bebidas de origen vegetal,en:Frutos de cáscara,en:Frutos de cáscara y derivados,en:Pistachos",,,
8480000141576,"Rebuenas, galletas rellenas de chocolate",Hacendado,484.62,6.54,70.38,20.77,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits,Filled biscuits",,,
8480000171122,Fritada pisto,HACENDADO,92.0,1.3,10.4,4.7,hidrato,verdura,frecuente,"almuerzo,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Frutas y verduras y sus productos,Conservas,Verduras y hortalizas y sus productos,Alimentos de origen vegetal en conserva,Comidas preparadas,Verduras y hortalizas en conserva,Comidas preparadas de origen vegetal,Fritada,Pisto",,,
8480000070326,Caldo de verduras,Hacendado,5.0,0.5,0.5,0.6,"proteina,hidrato,grasa",verdura,frecuente,"almuerzo,cena","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Bouillons,Bouillons de légumes",,,
8480000137388,Cacahuete en polvo desgrasado,Hacendado,416.0,46.7,21.0,13.2,proteina,frutos_secos,regular,"desayuno,media_manana,merienda,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Leguminosas y derivados,Leguminosas,Frutos de cáscara y derivados,Frutos de cáscara,Suplementos dietéticos,Suplementos de culturismo,Cacahuetes",,,
8480000207166,Mantequilla sin sal,Hacendado,743.0,0.5,0.8,82.0,grasa,lacteo,regular,"desayuno,media_manana,merienda,postre","Lácteos, Aceites y grasas, Untables, Grasas para untar, Grasas animales, Grasas de la leche, en:dairy-spread, Mantequillas",,,
8480000679727,Pechuga de pavo finas lonchas,Hacendado,78.0,17.8,0.6,0.5,proteina,embutido_ultra,ocasional,"media_manana,almuerzo,merienda,cena","Productos a base de carne,Embutidos,fr:Charcuteries cuites,en:Poultry hams,Fiambre de pechuga de pavo",,,
8480000156648,Kéfir Coco,Hacendado,53.2,0.52,7.2,2.52,hidrato,lacteo,regular,"desayuno,media_manana,merienda,postre","Bebidas y preparaciones de bebidas,Bebidas,Lácteos,Comidas fermentadas,Productos fermentados de la leche,Bebida lácteas,Bebidas fermentadas,Bebidas de leche fermentada,Kéfir",,,
8480000141132,Digestive fibra 23%,Hacendado,416.0,5.0,48.0,18.0,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Botanas,Snacks dulces,Galletas y pasteles,Galletas",,,
